# The rulings of tajwid — أحكام التجويد — as the tajweed-engine corpus enumerates them.
#
# GENERATED by tools/generate_tajwid_registry.py from
# standards/terminology/data/tajweed_engine_rules.json (version 0.4.2,
# riwayah hafs-an-asim). Do not edit by hand: change the corpus, or the vocalized
# labels in the generator, and run it again.
#
# WHY THIS IS A REGISTRY
# `tajwid_ruling` is the concept and has its dictionary entry, as do the
# families a ruling belongs to: izhar, idgham, iqlab, ikhfa, the kinds of madd,
# qalqalah, tafkhim and tarqiq. A hukum is a member of that set: what is true of
# it is its name, its place in the corpus (topic, category, school) and the
# rules the engine attaches to it, which is a row and not an entry (section 13).
#
# THE CODES ARE DERIVED
# The corpus writes its labels without tashkeel. The generator keeps a vocalized
# form of every label and derives the code from it by tools/translit.py, so the
# registry obeys sections 4 to 8 like every other name in the standard. Two
# consequences: where the engine gives two rulings the same label and a
# different school (the ranks of tafkhim), the school is part of the name; and
# where a label is bare («الإظهار» under the mutamathilayn), the category is
# written in so the member does not shadow the concept.
#
# `concept` names the dictionary entry or entries the hukum is a case of.
# `topic`, `category` and `school` are the engine's own ids, kept as they are so
# a reader can find the hukum in the corpus. `alternative_spellings` carries the
# engine's kebab id, so a dataset keyed its way resolves to the same member.
#
# `ref` cites the corpus by hukum id, as sources.yml asks.
#
# code	arabic	display	concept	topic	category	school	alternative_spellings	ref
ghunnat_al_ikhfa_haqiqi_mufakhkhamah	غُنَّة الإِخْفَاء الحَقِيقِيّ المُفَخَّمَة	Ghunnat al-Ikhfa Haqiqi Mufakhkhamah	tafkhim	tafkheem-tarqeeq	ikhfa-ghunnah-quality		ikhfa-ghunnah-tafkheem,ikhfa_ghunnah_tafkheem	tajweed_engine ikhfa-ghunnah-tafkheem
laam_lafz_al_jalalah_mufakhkhamah	لَام لَفْظ الجَلَالَة المُفَخَّمَة	Laam Lafz al-Jalalah Mufakhkhamah	tafkhim	tafkheem-tarqeeq	lam-jalalah		lam-jalalah-tafkheem,lam_jalalah_tafkheem	tajweed_engine lam-jalalah-tafkheem
laam_lafz_al_jalalah_muraqqaqah	لَام لَفْظ الجَلَالَة المُرَقَّقَة	Laam Lafz al-Jalalah Muraqqaqah	tarqiq	tafkheem-tarqeeq	lam-jalalah		lam-jalalah-tarqeeq,lam_jalalah_tarqeeq	tajweed_engine lam-jalalah-tarqeeq
tafkhim_al_raa	تَفْخِيم الرَّاء	Tafkhim al-Raa	tafkhim	tafkheem-tarqeeq	raa-rules		raa-tafkheem,raa_tafkheem	tajweed_engine raa-tafkheem
tarqiq_al_raa	تَرْقِيق الرَّاء	Tarqiq al-Raa	tarqiq	tafkheem-tarqeeq	raa-rules		raa-tarqeeq,raa_tarqeeq	tajweed_engine raa-tarqeeq
jawaz_al_wajhayn_fi_al_raa	جَوَاز الوَجْهَيْن فِي الرَّاء	Jawaz al-Wajhayn Fi al-Raa	tafkhim,tarqiq	tafkheem-tarqeeq	raa-rules		raa-either-permissible,raa_either_permissible	tajweed_engine raa-either-permissible
alif_mufakhkhamah	الأَلِف المُفَخَّمَة	Alif Mufakhkhamah	tafkhim	tafkheem-tarqeeq	alef-quality		alef-tafkheem,alef_tafkheem	tajweed_engine alef-tafkheem
alif_muraqqaqah	الأَلِف المُرَقَّقَة	Alif Muraqqaqah	tarqiq	tafkheem-tarqeeq	alef-quality		alef-tarqeeq,alef_tarqeeq	tajweed_engine alef-tarqeeq
idgham_al_mutamathilayn_kamil	إِدْغَام المُتَمَاثِلَيْن الكَامِل	Idgham al-Mutamathilayn Kamil	idgham,mutamathilan	letter-relations	mutamathilain-sagheer		mutamathilain-idgham-kamil,mutamathilain_idgham_kamil	tajweed_engine mutamathilain-idgham-kamil
izhar_al_mutamathilayn	إِظْهَار المُتَمَاثِلَيْن	Izhar al-Mutamathilayn	izhar,mutamathilan	letter-relations	mutamathilain-sagheer		mutamathilain-izhar,mutamathilain_izhar	tajweed_engine mutamathilain-izhar
idgham_al_mutajanisayn_naqis	إِدْغَام المُتَجَانِسَيْن النَّاقِص	Idgham al-Mutajanisayn Naqis	idgham,mutajanisan	letter-relations	mutajanisain-sagheer		mutajanisain-idgham-naqis,mutajanisain_idgham_naqis	tajweed_engine mutajanisain-idgham-naqis
ikhfa_shafawi_fi_al_mutajanisayn	الإِخْفَاء الشَّفَوِيّ فِي المُتَجَانِسَيْن	Ikhfa Shafawi Fi al-Mutajanisayn	ikhfa,mutajanisan	letter-relations	mutajanisain-sagheer		mutajanisain-ikhfa-shafawi,mutajanisain_ikhfa_shafawi	tajweed_engine mutajanisain-ikhfa-shafawi
izhar_al_noon_halqi	إِظْهَار النُّون الحَلْقِيّ	Izhar al-Noon Halqi	izhar	noon-tanween	izhar-halqi		izhar-halqi-noon,izhar_halqi_noon	tajweed_engine izhar-halqi-noon
izhar_al_tanwin_halqi	إِظْهَار التَّنْوِين الحَلْقِيّ	Izhar al-Tanwin Halqi	izhar	noon-tanween	izhar-halqi		izhar-halqi-tanween,izhar_halqi_tanween	tajweed_engine izhar-halqi-tanween
idgham_al_noon_bighunnah	إِدْغَام النُّون بِغُنَّة	Idgham al-Noon Bighunnah	idgham	noon-tanween	idgham-bi-ghunnah		idgham-bi-ghunnah-noon,idgham_bi_ghunnah_noon	tajweed_engine idgham-bi-ghunnah-noon
idgham_al_tanwin_bighunnah	إِدْغَام التَّنْوِين بِغُنَّة	Idgham al-Tanwin Bighunnah	idgham	noon-tanween	idgham-bi-ghunnah		idgham-bi-ghunnah-tanween,idgham_bi_ghunnah_tanween	tajweed_engine idgham-bi-ghunnah-tanween
idgham_al_noon_bighayr_ghunnah	إِدْغَام النُّون بِغَيْر غُنَّة	Idgham al-Noon Bighayr Ghunnah	idgham	noon-tanween	idgham-bila-ghunnah		idgham-bila-ghunnah-noon,idgham_bila_ghunnah_noon	tajweed_engine idgham-bila-ghunnah-noon
idgham_al_tanwin_bighayr_ghunnah	إِدْغَام التَّنْوِين بِغَيْر غُنَّة	Idgham al-Tanwin Bighayr Ghunnah	idgham	noon-tanween	idgham-bila-ghunnah		idgham-bila-ghunnah-tanween,idgham_bila_ghunnah_tanween	tajweed_engine idgham-bila-ghunnah-tanween
idgham_al_noon_kamil	إِدْغَام النُّون الكَامِل	Idgham al-Noon Kamil	idgham	noon-tanween	idgham-kamil		idgham-kamil-noon,idgham_kamil_noon	tajweed_engine idgham-kamil-noon
idgham_al_tanwin_kamil	إِدْغَام التَّنْوِين الكَامِل	Idgham al-Tanwin Kamil	idgham	noon-tanween	idgham-kamil		idgham-kamil-tanween,idgham_kamil_tanween	tajweed_engine idgham-kamil-tanween
idgham_al_noon_naqis	إِدْغَام النُّون النَّاقِص	Idgham al-Noon Naqis	idgham	noon-tanween	idgham-naqis		idgham-naqis-noon,idgham_naqis_noon	tajweed_engine idgham-naqis-noon
idgham_al_tanwin_naqis	إِدْغَام التَّنْوِين النَّاقِص	Idgham al-Tanwin Naqis	idgham	noon-tanween	idgham-naqis		idgham-naqis-tanween,idgham_naqis_tanween	tajweed_engine idgham-naqis-tanween
qalb_al_noon_sakinah	قَلْب النُّون السَّاكِنَة	Qalb al-Noon Sakinah	iqlab	noon-tanween	iqlab		iqlab-noon,iqlab_noon	tajweed_engine iqlab-noon
qalb_al_tanwin	قَلْب التَّنْوِين	Qalb al-Tanwin	iqlab	noon-tanween	iqlab		iqlab-tanween,iqlab_tanween	tajweed_engine iqlab-tanween
ikhfa_haqiqi_li_al_noon	الإِخْفَاء الحَقِيقِيّ لِلنُّون	Ikhfa Haqiqi li al-Noon	ikhfa	noon-tanween	ikhfa-haqiqi		ikhfa-haqiqi-noon,ikhfa_haqiqi_noon	tajweed_engine ikhfa-haqiqi-noon
ikhfa_haqiqi_li_al_tanwin	الإِخْفَاء الحَقِيقِيّ لِلتَّنْوِين	Ikhfa Haqiqi li al-Tanwin	ikhfa	noon-tanween	ikhfa-haqiqi		ikhfa-haqiqi-tanween,ikhfa_haqiqi_tanween	tajweed_engine ikhfa-haqiqi-tanween
izhar_mutlaq	الإِظْهَار المُطْلَق	Izhar Mutlaq	izhar	noon-tanween	izhar-mutlaq		izhar-mutlaq	tajweed_engine izhar-mutlaq
idgham_al_meem_sakinah	إِدْغَام المِيم السَّاكِنَة	Idgham al-Meem Sakinah	idgham,meem_sakinah	meem-sakinah	idgham-shafawi		idgham-shafawi-meem,idgham_shafawi_meem	tajweed_engine idgham-shafawi-meem
noon_mushaddadah	النُّون المُشَدَّدَة	Noon Mushaddadah	ghunnah	mushaddadatan	mushaddadatan		noon-mushaddadah	tajweed_engine noon-mushaddadah
meem_mushaddadah	المِيم المُشَدَّدَة	Meem Mushaddadah	ghunnah	mushaddadatan	mushaddadatan		meem-mushaddadah	tajweed_engine meem-mushaddadah
madd_tabii_kalimi	المَدّ الطَّبِيعِيّ الكَلِمِيّ	Madd Tabii Kalimi	madd_tabii	madd	madd-tabee		madd-tabee-kalimi,madd_tabee_kalimi	tajweed_engine madd-tabee-kalimi
waw_layyinah	الوَاو اللَّيِّنَة	Waw Layyinah	madd_al_lin	madd	leen-letters		leen-waw,leen_waw	tajweed_engine leen-waw
yaa_layyinah	اليَاء اللَّيِّنَة	Yaa Layyinah	madd_al_lin	madd	leen-letters		leen-yaa,leen_yaa	tajweed_engine leen-yaa
madd_al_iwad_an_al_tanwin	مَدّ العِوَض عَن التَّنْوِين	Madd al-Iwad An al-Tanwin	madd_al_iwad	madd	madd-tabee		madd-iwad,madd_iwad	tajweed_engine madd-iwad
madd_al_silah_sughra	مَدّ الصِّلَة الصُّغْرَى	Madd al-Silah Sughra	madd_al_silah	madd	madd-tabee		madd-silah-sughra,madd_silah_sughra	tajweed_engine madd-silah-sughra
alifat_saba	الأَلِفَات السَّبْع	Alifat Saba	madd_tabii	madd	madd-tabee		seven-alefs,seven_alefs	tajweed_engine seven-alefs
alifat_saba_bikhulf	الأَلِفَات السَّبْع بِخُلْف	Alifat Saba Bikhulf	madd_tabii	madd	madd-tabee		seven-alefs-khulf,seven_alefs_khulf	tajweed_engine seven-alefs-khulf
madd_al_badal_washibh_al_badal	مَدّ البَدَل وَشِبْه البَدَل	Madd al-Badal Washibh al-Badal	madd_al_badal	madd	madd-far-hamz		madd-badal,madd_badal	tajweed_engine madd-badal
madd_wajib_muttasil	المَدّ الوَاجِب المُتَّصِل	Madd Wajib Muttasil	madd_muttasil	madd	madd-far-hamz		madd-muttasil,madd_muttasil	tajweed_engine madd-muttasil
madd_jaiz_munfasil	المَدّ الجَائِز المُنْفَصِل	Madd Jaiz Munfasil	madd_munfasil	madd	madd-far-hamz		madd-munfasil,madd_munfasil	tajweed_engine madd-munfasil
ikhfa_al_meem_sakinah	إِخْفَاء المِيم السَّاكِنَة	Ikhfa al-Meem Sakinah	ikhfa,meem_sakinah	meem-sakinah	ikhfa-shafawi		ikhfa-shafawi-meem,ikhfa_shafawi_meem	tajweed_engine ikhfa-shafawi-meem
izhar_al_meem_sakinah	إِظْهَار المِيم السَّاكِنَة	Izhar al-Meem Sakinah	izhar,meem_sakinah	meem-sakinah	izhar-shafawi		izhar-shafawi-meem,izhar_shafawi_meem	tajweed_engine izhar-shafawi-meem
qalqalah_sughra	القَلْقَلَة الصُّغْرَى	Qalqalah Sughra	qalqalah	qalqalah	qalqalah-ranks		qalqalah-sughra	tajweed_engine qalqalah-sughra
qalqalah_mutatarrifah	القَلْقَلَة المُتَطَرِّفَة	Qalqalah Mutatarrifah	qalqalah	qalqalah	qalqalah-ranks		qalqalah-mutatarrifa,qalqalah_mutatarrifa	tajweed_engine qalqalah-mutatarrifa
qalqalah_kubra	القَلْقَلَة الكُبْرَى	Qalqalah Kubra	qalqalah	qalqalah	qalqalah-ranks		qalqalah-kubra	tajweed_engine qalqalah-kubra
madd_lazim_kalimi_muthaqqal	المَدّ اللَّازِم الكَلِمِيّ المُثَقَّل	Madd Lazim Kalimi Muthaqqal	madd_lazim	madd	madd-lazim		madd-lazim-kalimi-muthaqqal	tajweed_engine madd-lazim-kalimi-muthaqqal
madd_lazim_kalimi_mukhaffaf	المَدّ اللَّازِم الكَلِمِيّ المُخَفَّف	Madd Lazim Kalimi Mukhaffaf	madd_lazim	madd	madd-lazim		madd-lazim-kalimi-mukhaffaf	tajweed_engine madd-lazim-kalimi-mukhaffaf
madd_lazim_harfi	المَدّ اللَّازِم الحَرْفِيّ	Madd Lazim Harfi	madd_lazim	madd	madd-lazim		madd-lazim-harfi	tajweed_engine madd-lazim-harfi
